run_id,batch_id,cell,fixture,generator,supports,tool,run_index,warmup,threads,expected_generator,validated_generator,config_path,exe_path,module_dir,model_path,output_path,stderr_path,wall_seconds,cpu_seconds,cpu_wall_ratio,peak_workingset_bytes,gcode_bytes,sha256_of_gcode,type_counts_json,completion_status,fatal_error_count,non_fatal_error_count,degraded,exit_code,timestamp_utc
benchy-classic-off-orca-w1,s1-benchy,classic-off,benchy,classic,off,orca,1,1,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\orca-configs\derived-classic-support0.json,C:\Program Files\OrcaSlicer\orca-slicer.exe,,D:\slicerProject\pinch_n_print_cli_2\tmp\3dbenchy.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\gcode\benchy-classic-off-orca-w1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\benchy-classic-off-orca-w1.stderr.jsonl,2.8691,9.9531,3.469,212119552,3890416,ea936c766df8e6bd7fa483a89e274336987704bec79e8c0c2bd53084c3a26874,"{""Internal Bridge"":12,""Outer wall"":743,""Bridge"":3,""Overhang wall"":84,""Custom"":2,""Gap infill"":777,""Brim"":1,""Sparse infill"":248,""Bottom surface"":5,""Internal solid infill"":312,""Top surface"":22,""Skirt"":1,""Inner wall"":612}",n/a,n/a,n/a,n/a,0,2026-09-22T22:55:08.543Z
benchy-classic-off-pnp-ordinary-w1,s1-benchy,classic-off,benchy,classic,off,pnp-ordinary,1,1,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\release\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\modules\core-modules,D:\slicerProject\pinch_n_print_cli_2\tmp\3dbenchy.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\gcode\benchy-classic-off-pnp-ordinary-w1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\benchy-classic-off-pnp-ordinary-w1.stderr.jsonl,23.2147,133.8281,5.7648,341004288,7444793,d6e260c0f0cd9628537b88d440fee542e5d72dd8d4c167c75a8489906989d7df,"{""Internal Bridge"":12,""Bottom surface"":22,""Inner wall"":258,""Skirt"":1,""Sparse infill"":273,""Brim"":1,""Gap infill"":110,""Bridge"":18,""Outer wall"":240,""Internal solid infill"":13,""Top surface"":47}",ok,0,0,false,0,2026-09-22T22:55:32.228Z
benchy-classic-off-pnp-accelerated-w1,s1-benchy,classic-off,benchy,classic,off,pnp-accelerated,1,1,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\modules,D:\slicerProject\pinch_n_print_cli_2\tmp\3dbenchy.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\gcode\benchy-classic-off-pnp-accelerated-w1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\benchy-classic-off-pnp-accelerated-w1.stderr.jsonl,19.7256,112.7656,5.7167,346918912,7444266,5bf674958489eb99db4712d2a52478d5844c5e6649f565b77234da2d262d5e25,"{""Internal Bridge"":12,""Bottom surface"":22,""Inner wall"":256,""Skirt"":1,""Sparse infill"":273,""Brim"":1,""Gap infill"":110,""Bridge"":18,""Outer wall"":240,""Internal solid infill"":13,""Top surface"":47}",ok,0,0,false,0,2026-09-22T22:55:52.356Z
benchy-classic-off-orca-m1,s1-benchy,classic-off,benchy,classic,off,orca,1,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\orca-configs\derived-classic-support0.json,C:\Program Files\OrcaSlicer\orca-slicer.exe,,D:\slicerProject\pinch_n_print_cli_2\tmp\3dbenchy.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\gcode\benchy-classic-off-orca-m1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\benchy-classic-off-orca-m1.stderr.jsonl,2.7958,9.3281,3.3365,215797760,3899056,e901f4d6b8a0ed906ac9ba79124585962b256a0094ef8818f778fc0ac0c43232,"{""Internal Bridge"":12,""Outer wall"":743,""Bridge"":3,""Overhang wall"":84,""Custom"":2,""Gap infill"":777,""Brim"":1,""Sparse infill"":248,""Bottom surface"":5,""Internal solid infill"":312,""Top surface"":22,""Skirt"":1,""Inner wall"":612}",n/a,n/a,n/a,n/a,0,2026-09-22T22:55:55.241Z
benchy-classic-off-pnp-ordinary-m1,s1-benchy,classic-off,benchy,classic,off,pnp-ordinary,1,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\release\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\modules\core-modules,D:\slicerProject\pinch_n_print_cli_2\tmp\3dbenchy.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\gcode\benchy-classic-off-pnp-ordinary-m1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\benchy-classic-off-pnp-ordinary-m1.stderr.jsonl,20.6065,131.1875,6.3663,341569536,7444357,4868eb5a68813f5b348af9dfd85109dbe8d802432da82c3ada08bd54ceddb922,"{""Internal Bridge"":12,""Bottom surface"":22,""Inner wall"":256,""Skirt"":1,""Sparse infill"":273,""Brim"":1,""Gap infill"":110,""Bridge"":18,""Outer wall"":240,""Internal solid infill"":13,""Top surface"":47}",ok,0,0,false,0,2026-09-22T22:56:16.265Z
benchy-classic-off-pnp-accelerated-m1,s1-benchy,classic-off,benchy,classic,off,pnp-accelerated,1,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\modules,D:\slicerProject\pinch_n_print_cli_2\tmp\3dbenchy.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\gcode\benchy-classic-off-pnp-accelerated-m1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\benchy-classic-off-pnp-accelerated-m1.stderr.jsonl,19.8217,112.5,5.6756,338075648,7444723,b12118708963615dd2f5e7fa8e797fd3675dd9a0f9ce64caba374bafe5ebea7f,"{""Internal Bridge"":12,""Bottom surface"":22,""Inner wall"":258,""Skirt"":1,""Sparse infill"":273,""Brim"":1,""Gap infill"":110,""Bridge"":18,""Outer wall"":240,""Internal solid infill"":13,""Top surface"":47}",ok,0,0,false,0,2026-09-22T22:56:36.453Z
benchy-classic-off-pnp-ordinary-m2,s1-benchy,classic-off,benchy,classic,off,pnp-ordinary,2,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\release\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\modules\core-modules,D:\slicerProject\pinch_n_print_cli_2\tmp\3dbenchy.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\gcode\benchy-classic-off-pnp-ordinary-m2.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\benchy-classic-off-pnp-ordinary-m2.stderr.jsonl,21.0457,132.9531,6.3174,340762624,7443822,9f9dadc31448d5e6246248a6ef07f8ab69588c8c171fbcc668e3578719e11e1b,"{""Internal Bridge"":12,""Bottom surface"":22,""Inner wall"":252,""Skirt"":1,""Sparse infill"":273,""Brim"":1,""Gap infill"":110,""Bridge"":18,""Outer wall"":240,""Internal solid infill"":13,""Top surface"":47}",ok,0,0,false,0,2026-09-22T22:56:57.969Z
benchy-classic-off-pnp-accelerated-m2,s1-benchy,classic-off,benchy,classic,off,pnp-accelerated,2,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\modules,D:\slicerProject\pinch_n_print_cli_2\tmp\3dbenchy.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\gcode\benchy-classic-off-pnp-accelerated-m2.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\benchy-classic-off-pnp-accelerated-m2.stderr.jsonl,21.0575,114.375,5.4315,344838144,7444849,303b03d2a4b24feba849143945be3b30e7d1aac5ca11b098f498d82d1df19657,"{""Internal Bridge"":12,""Bottom surface"":22,""Inner wall"":258,""Skirt"":1,""Sparse infill"":273,""Brim"":1,""Gap infill"":110,""Bridge"":18,""Outer wall"":240,""Internal solid infill"":13,""Top surface"":47}",ok,0,0,false,0,2026-09-22T22:57:19.449Z
benchy-classic-off-orca-m2,s1-benchy,classic-off,benchy,classic,off,orca,2,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\orca-configs\derived-classic-support0.json,C:\Program Files\OrcaSlicer\orca-slicer.exe,,D:\slicerProject\pinch_n_print_cli_2\tmp\3dbenchy.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\gcode\benchy-classic-off-orca-m2.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\benchy-classic-off-orca-m2.stderr.jsonl,2.9087,9.6719,3.3251,217370624,3890416,3055ba5553fbdbc10273f703210de3bac012a3bb220d5031250968ecfec0ab63,"{""Internal Bridge"":12,""Outer wall"":743,""Bridge"":3,""Overhang wall"":84,""Custom"":2,""Gap infill"":777,""Brim"":1,""Sparse infill"":248,""Bottom surface"":5,""Internal solid infill"":312,""Top surface"":22,""Skirt"":1,""Inner wall"":612}",n/a,n/a,n/a,n/a,0,2026-09-22T22:57:22.441Z
benchy-classic-off-pnp-accelerated-m3,s1-benchy,classic-off,benchy,classic,off,pnp-accelerated,3,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\modules,D:\slicerProject\pinch_n_print_cli_2\tmp\3dbenchy.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\gcode\benchy-classic-off-pnp-accelerated-m3.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s1-benchy\benchy-classic-off-pnp-accelerated-m3.stderr.jsonl,22.8769,116.6406,5.0986,348114944,7444400,274b228f65157a165ce6ac6171594781e88448bb431f482c33bcf4f383c715c6,"{""Internal Bridge"":12,""Bottom surface"":22,""Inner wall"":257,""Skirt"":1,""Sparse infill"":273,""Brim"":1,""Gap infill"":110,""Bridge"":18,""Outer wall"":240,""Internal solid infill"":13,""Top surface"":47}",ok,0,0,false,0,2026-09-22T22:57:45.755Z
