run_id,batch_id,cell,fixture,generator,supports,tool,run_index,warmup,threads,expected_generator,validated_generator,config_path,exe_path,module_dir,model_path,output_path,stderr_path,wall_seconds,cpu_seconds,cpu_wall_ratio,peak_workingset_bytes,gcode_bytes,sha256_of_gcode,type_counts_json,completion_status,fatal_error_count,non_fatal_error_count,degraded,exit_code,timestamp_utc
base-classic-off-orca-w1,s2-base,classic-off,base,classic,off,orca,1,1,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\orca-configs\derived-classic-support0.json,C:\Program Files\OrcaSlicer\orca-slicer.exe,,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-off-orca-w1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-off-orca-w1.stderr.jsonl,16.7513,35.3438,2.1099,672657408,20636220,0561cd6b12f322417169b8901aa6dc5e4ea51054263faafc45f412fb405036b6,"{""Internal solid infill"":1476,""Overhang wall"":952,""Sparse infill"":1604,""Bridge"":119,""Brim"":1,""Custom"":2,""Top surface"":105,""Skirt"":1,""Gap infill"":605,""Inner wall"":904,""Outer wall"":1695,""Internal Bridge"":14}",n/a,n/a,n/a,n/a,0,2026-09-22T23:12:11.999Z
base-classic-off-pnp-ordinary-w1,s2-base,classic-off,base,classic,off,pnp-ordinary,1,1,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\release\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\modules\core-modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-off-pnp-ordinary-w1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-off-pnp-ordinary-w1.stderr.jsonl,223.5501,1928.2188,8.6254,1173176320,21935939,7c198417b4bcdf717cd91262e9963b41716ade69b1ce3622560444b24a00a790,"{""Sparse infill"":670,""Internal Bridge"":6,""Top surface"":58,""Inner wall"":525,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Skirt"":1,""Gap infill"":245,""Outer wall"":495,""Internal solid infill"":3}",ok,0,0,false,0,2026-09-22T23:15:56.839Z
base-classic-off-pnp-accelerated-w1,s2-base,classic-off,base,classic,off,pnp-accelerated,1,1,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-off-pnp-accelerated-w1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-off-pnp-accelerated-w1.stderr.jsonl,192.604,1516.7812,7.8751,1187651584,21935974,83aaf9f76c33de21ff92ad26cd01f34b1a1dad6907e14f47bee7c73f3ddc4a76,"{""Sparse infill"":670,""Internal Bridge"":6,""Top surface"":58,""Inner wall"":525,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Skirt"":1,""Gap infill"":245,""Outer wall"":495,""Internal solid infill"":3}",ok,0,0,false,0,2026-09-22T23:19:10.557Z
base-classic-off-orca-m1,s2-base,classic-off,base,classic,off,orca,1,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\orca-configs\derived-classic-support0.json,C:\Program Files\OrcaSlicer\orca-slicer.exe,,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-off-orca-m1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-off-orca-m1.stderr.jsonl,19.615,38.8438,1.9803,603000832,20636220,139fb4ac8c73baa9073debed0a630f622135dde155e1ad0f52b4f72ad0952400,"{""Internal solid infill"":1476,""Overhang wall"":952,""Sparse infill"":1604,""Bridge"":119,""Brim"":1,""Custom"":2,""Top surface"":105,""Skirt"":1,""Gap infill"":605,""Inner wall"":904,""Outer wall"":1695,""Internal Bridge"":14}",n/a,n/a,n/a,n/a,0,2026-09-22T23:19:30.632Z
base-classic-off-pnp-ordinary-m1,s2-base,classic-off,base,classic,off,pnp-ordinary,1,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\release\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\modules\core-modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-off-pnp-ordinary-m1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-off-pnp-ordinary-m1.stderr.jsonl,251.8201,1921.8125,7.6317,1218195456,21935777,523799d01207eaa4de7445bb5cecc168dea3025ec677823a631f3a09ae24d7f1,"{""Sparse infill"":670,""Internal Bridge"":6,""Top surface"":58,""Inner wall"":524,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Skirt"":1,""Gap infill"":245,""Outer wall"":495,""Internal solid infill"":3}",ok,0,0,false,0,2026-09-22T23:23:43.513Z
base-classic-off-pnp-accelerated-m1,s2-base,classic-off,base,classic,off,pnp-accelerated,1,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-off-pnp-accelerated-m1.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-off-pnp-accelerated-m1.stderr.jsonl,212.8699,1546.7812,7.2663,1212649472,21936162,28bc941abfb933f2c005acd51aafb288df659f7dc82a0f9bd4d5a4d8775cc3ae,"{""Sparse infill"":670,""Internal Bridge"":6,""Top surface"":58,""Inner wall"":526,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Skirt"":1,""Gap infill"":245,""Outer wall"":495,""Internal solid infill"":3}",ok,0,0,false,0,2026-09-22T23:27:17.646Z
base-classic-off-pnp-ordinary-m2,s2-base,classic-off,base,classic,off,pnp-ordinary,2,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\release\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\modules\core-modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-off-pnp-ordinary-m2.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-off-pnp-ordinary-m2.stderr.jsonl,247.4869,1942.3281,7.8482,1222172672,21936132,12de177b9386bf71dee3e52fb270e7662b4b39d5cd6a516229862f182841624b,"{""Sparse infill"":670,""Internal Bridge"":6,""Top surface"":58,""Inner wall"":526,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Skirt"":1,""Gap infill"":245,""Outer wall"":495,""Internal solid infill"":3}",ok,0,0,false,0,2026-09-22T23:31:27.215Z
base-classic-off-pnp-accelerated-m2,s2-base,classic-off,base,classic,off,pnp-accelerated,2,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-off-pnp-accelerated-m2.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-off-pnp-accelerated-m2.stderr.jsonl,214.2186,1520.2344,7.0967,1204600832,21936407,471ea7a4482f3753254f43df04d79b54c1b66622a5456f8893d8a203d0d09fd9,"{""Sparse infill"":670,""Internal Bridge"":6,""Top surface"":58,""Inner wall"":528,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Skirt"":1,""Gap infill"":245,""Outer wall"":495,""Internal solid infill"":3}",ok,0,0,false,0,2026-09-22T23:35:02.528Z
base-classic-off-orca-m2,s2-base,classic-off,base,classic,off,orca,2,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\orca-configs\derived-classic-support0.json,C:\Program Files\OrcaSlicer\orca-slicer.exe,,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-off-orca-m2.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-off-orca-m2.stderr.jsonl,17.51,36.6719,2.0943,614932480,20636220,336aae5ba36d6558d90313a0e5f9b2278086fdce999ddfa0d12fe72022bccf32,"{""Internal solid infill"":1476,""Overhang wall"":952,""Sparse infill"":1604,""Bridge"":119,""Brim"":1,""Custom"":2,""Top surface"":105,""Skirt"":1,""Gap infill"":605,""Inner wall"":904,""Outer wall"":1695,""Internal Bridge"":14}",n/a,n/a,n/a,n/a,0,2026-09-22T23:35:20.397Z
base-classic-off-pnp-accelerated-m3,s2-base,classic-off,base,classic,off,pnp-accelerated,3,0,12,classic,classic,D:\slicerProject\pinch_n_print_cli_2\docs\specs\perf-vs-orca\evidence\matched-pair\configs\pnp-classic-supports-off.json,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\pnp_cli.exe,D:\slicerProject\pinch_n_print_cli_2\target\dist-accelerated\developer\modules,D:\slicerProject\pinch_n_print_cli_2\tmp\base.stl,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\gcode\base-classic-off-pnp-accelerated-m3.gcode,D:\slicerProject\pinch_n_print_cli_2\target\matched-pair\s2-base\base-classic-off-pnp-accelerated-m3.stderr.jsonl,202.6212,1512.7969,7.4661,1168908288,21935669,95f9656dfebea64bf91f6ee63a8fa172d82f74b40504cdb6b7ff2f55b929df6d,"{""Sparse infill"":670,""Internal Bridge"":6,""Top surface"":58,""Inner wall"":524,""Bridge"":51,""Bottom surface"":49,""Brim"":1,""Skirt"":1,""Gap infill"":245,""Outer wall"":495,""Internal solid infill"":3}",ok,0,0,false,0,2026-09-22T23:38:44.201Z
