file|raw_sha256_equal|normalized_equal|raw_diff_lines|removed_lines
./clipper.rs|NO|NO|58|0
./clipper_tests.rs|NO|NO|47|0
./core.rs|NO|yes|0|0
./core_tests.rs|NO|yes|0|0
./engine.rs|yes|yes|0|0
./engine_fns.rs|NO|yes|0|0
./engine_public.rs|yes|yes|0|0
./engine_tests.rs|yes|yes|0|0
./lib.rs|yes|yes|0|0
./main.rs|NO|yes|0|0
./minkowski.rs|NO|yes|0|0
./minkowski_tests.rs|NO|yes|0|0
./offset.rs|NO|yes|0|0
./offset_tests.rs|NO|yes|0|0
./rectclip.rs|NO|yes|0|0
./rectclip_tests.rs|NO|yes|0|0
./utils/colors.rs|NO|yes|0|0
./utils/file_io.rs|NO|yes|0|0
./utils/mod.rs|NO|yes|0|0
./utils/svg.rs|yes|yes|0|0
./utils/timer.rs|yes|yes|0|0
./version.rs|NO|yes|0|0
